weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -2.636855922144094948e+05 3.037187886417254806e+06 4.118591323212684188e+02 1.049104958976217578e+13 7.331602745057039239e-02 4.792685159894767821e+02 1.127854108703604297e+01
0.000000000000000000e+00 -2.602210933657283313e+05 3.919789359241015278e+06 4.275301149359457895e+02 5.079787458882957031e+12 7.246858365348370079e-02 9.426028892673053861e+01 1.245955851355402011e+01
0.000000000000000000e+00 -2.580837545044510043e+05 4.801342846141682938e+06 1.300246523741899409e+02 1.994710098975095312e+13 7.364662779512205770e-02 2.476582350434776743e+02 1.981500756369921490e+01
0.000000000000000000e+00 -2.546411237703630177e+05 2.698900995574609842e+06 2.289882917693250874e+02 1.651590918073088867e+13 7.830527439750101237e-02 1.539569142391356422e+02 1.880008642214274772e+01
0.000000000000000000e+00 -2.540796915023859474e+05 1.075876261630702997e+06 1.183562611567618035e+02 1.724140776671692578e+13 8.525450235030646029e-02 1.475387592370546201e+02 3.775171339134532289e+00
0.000000000000000000e+00 -2.539404872977373889e+05 2.323752136314527597e+06 2.361516372389395002e+01 1.355303938303569141e+13 9.424593916620883916e-02 2.544732859330533472e+02 5.303106797128771532e+00
0.000000000000000000e+00 -2.533125496041182778e+05 3.748591677954236511e+06 4.272792205846168940e+02 1.287496382932377148e+13 4.853817780781684299e-02 4.397389064836046941e+02 1.819040384987945913e+01
0.000000000000000000e+00 -2.519983493015489657e+05 3.344211529289590195e+06 1.849486799323048558e+02 1.860718601839711719e+13 7.540806175918478294e-02 5.713960724831319027e+01 2.478767841814717876e+00
0.000000000000000000e+00 -2.519342507387079531e+05 1.644287782480320428e+06 4.185433167375704215e+02 1.164223904690604688e+13 8.632635298327549778e-02 3.843124308884105744e+02 3.752846267268124425e+00
0.000000000000000000e+00 -2.518172120853875240e+05 2.363633200770211406e+06 1.780555760112039820e+02 1.575268824087583203e+13 8.315280015908428635e-02 1.634770911018798643e+02 1.629357972191125015e+01
0.000000000000000000e+00 -2.512174659067978209e+05 1.977197578348027542e+06 1.437442028038321098e+02 1.985419284749853906e+13 7.848155783937628416e-02 1.349860950932994967e+02 5.681145517017918145e+00
0.000000000000000000e+00 -2.497026633420097642e+05 3.802160409315755591e+06 4.306320057510789070e+02 9.651531070022738281e+12 5.440065623078608331e-02 1.694196629156794245e+02 1.404684301274084390e+01
0.000000000000000000e+00 -2.468723546145810105e+05 4.299976942585388198e+06 2.751794701299791086e+02 5.595926398815957031e+12 9.598075753353702000e-02 1.755025629514747152e+02 1.764823914314970565e+01
0.000000000000000000e+00 -2.463079297840920044e+05 4.881919586859956384e+06 3.783517355350760454e+02 1.061631894696112109e+13 2.997927602426634155e-02 2.065082587203152968e+02 5.804438516076472432e+00
0.000000000000000000e+00 -2.460293947939058125e+05 3.741813170021333732e+06 2.406402454949355842e+02 1.831955312729650000e+13 6.847499965764651531e-02 1.979242788322008550e+02 1.606258315754403654e+01
0.000000000000000000e+00 -2.452301728479184967e+05 4.782823607005853206e+06 3.327678760496349923e+02 1.255461812837780078e+13 4.990327437462972748e-02 3.969550179835479753e+02 1.336648038245984260e+01
0.000000000000000000e+00 -2.451254881793269014e+05 1.819143946645696182e+06 2.026612236695715410e+02 1.224788787517819141e+13 9.088778893133250825e-02 3.859523713374663885e+02 7.277170384377495971e+00
0.000000000000000000e+00 -2.423707344868684304e+05 4.972222150135801174e+06 1.740437499069732894e+02 8.669194035014935547e+12 9.291880288566325974e-02 7.564297767979620346e+01 1.490134784251031519e+01
0.000000000000000000e+00 -2.392815506726812164e+05 4.829067119543425739e+06 3.448181804295957136e+02 6.522479666149803711e+12 6.036683870338529351e-02 3.219837870263634727e+01 1.009961867124811263e+01
0.000000000000000000e+00 -2.366669373367152293e+05 4.172692955941223074e+06 4.199908482958646232e+02 6.344178041869581055e+12 3.882659306930673349e-02 1.880537331371289156e+02 1.690609174349281574e+01
0.000000000000000000e+00 -2.357373428884545574e+05 2.682613783343588933e+06 2.945395252796470231e+02 8.220630867405873047e+12 9.194567399090856907e-02 4.814511869902167973e+02 1.112249974596416102e+01
0.000000000000000000e+00 -2.352448926237204287e+05 4.974593376219324768e+06 3.694416066739800044e+02 1.467457446111991602e+13 1.984239925084356135e-02 2.393774372962846542e+01 1.062332169173361684e+01
0.000000000000000000e+00 -2.346534572978297947e+05 4.364059658591292799e+06 4.074371996340627788e+02 1.023811947418058984e+13 1.670063448123079025e-02 3.686394811088626966e+02 7.143162166245797806e+00
0.000000000000000000e+00 -2.338708182035555074e+05 2.503486758628680836e+06 3.204862728988676395e+02 9.035271663933601562e+12 8.922600662241908509e-02 3.552811561071412711e+02 4.622132420460637547e+00
0.000000000000000000e+00 -2.288957818955616676e+05 4.413378937326399609e+06 3.655910694927333111e+02 9.503103616295414062e+12 4.994776717573053137e-02 1.395513329791189392e+02 5.824267266246407004e+00
0.000000000000000000e+00 -2.288297492705074546e+05 4.592252015983151272e+06 3.725063882010903740e+02 1.514974202090904883e+13 3.413312538809185059e-02 1.283341300787844830e+02 2.631531975315391847e+00
0.000000000000000000e+00 -2.277585752939083904e+05 3.796979392923695035e+06 1.191121591934111592e+02 1.363757908614457812e+13 8.529550089700914384e-02 1.834632451436627036e+02 2.306591183212187701e+00
0.000000000000000000e+00 -2.269930895026068320e+05 1.887621232451292686e+06 2.358367256172548707e+02 1.328597324164704297e+13 8.328359741181798337e-02 4.997741719136907363e+02 1.882236919103146278e+01
0.000000000000000000e+00 -2.216172042626677721e+05 3.780139987750523258e+06 4.197310380134029515e+02 1.115463834912385742e+13 3.638864020252672443e-02 4.293532165065584536e+02 1.463929297788398465e+01
0.000000000000000000e+00 -2.214886432840244670e+05 4.885236495375759900e+06 3.268002789795156104e+02 1.004070906197689062e+13 4.907378152562019008e-02 1.663908495894407906e+02 1.694622188940043905e+00
0.000000000000000000e+00 -2.212785137886958546e+05 4.866243316817228682e+06 3.641141658690404483e+02 1.308730082071644141e+13 4.588255840936559388e-03 3.534777370503657323e+01 1.081342918466698144e+01
0.000000000000000000e+00 -2.205551947205665347e+05 2.056292310684598517e+06 3.024556262051276008e+02 8.798375246581226562e+12 9.164287717068023142e-02 4.480618476320612444e+02 1.685123921765894295e+01
0.000000000000000000e+00 -2.192844676478854963e+05 3.216909192780870013e+06 3.586950459823261781e+02 1.361380122145803125e+13 6.203426002313683352e-02 3.222781490846651877e+02 1.699992219387227266e+01
0.000000000000000000e+00 -2.157440564851383388e+05 4.716643578104381450e+06 7.614670916421037816e+01 1.163406062056795703e+13 8.952981060752421283e-02 4.514471879462590778e+02 1.593301724374564010e+01
0.000000000000000000e+00 -2.128988406990390795e+05 4.790660027106460184e+06 3.517934870789517845e+02 1.780153974104186719e+13 1.676086114778342281e-02 1.583792742264743936e+02 1.957669570242593693e+01
