rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
4.974950817547185346e+06 2.269869891819380925e+01 5.119287174873815430e+12 3.929036438631778455e-02 4.983732558095266540e+02 3.857777614878072914e+00
4.950243887362651527e+06 2.191235290234681798e+01 5.107937301376106445e+12 3.917209976803188998e-02 4.997901435451245220e+02 3.997057037198480156e+00
4.681907513734431937e+06 2.329925395341673067e+01 5.026951445401026367e+12 3.880100991134314420e-02 4.999662587173115185e+02 3.906540850781745622e+00
4.978240133846368641e+06 2.244654666515057073e+01 5.241858680743071289e+12 3.842090342229440014e-02 4.996973035917774837e+02 3.700510679454947827e+00
4.801167323083531111e+06 2.344028793842328895e+01 5.225786666204436523e+12 3.905165772205291402e-02 4.997406334186611048e+02 3.631146497484575075e+00
4.912871936059309170e+06 2.241400689490566123e+01 5.241942565924783203e+12 3.837266960908489871e-02 4.943293458568239771e+02 3.772623326526101994e+00
4.823178830152161419e+06 2.245553176181380550e+01 5.025080214632774414e+12 3.941000204323901607e-02 4.996462263019965917e+02 3.743045816024468841e+00
4.991116770521136001e+06 2.204704156538507576e+01 5.092575228500217773e+12 3.925950921050693626e-02 4.998168687549519973e+02 3.702044500948281858e+00
4.968211022938666865e+06 2.177884652668201326e+01 5.010425668932640625e+12 3.963743424356198225e-02 4.999986365784725990e+02 4.062938088028494654e+00
4.882352074000060558e+06 2.313392024653919066e+01 5.129284884232119141e+12 3.887845892653447183e-02 4.986850556659189806e+02 3.687178579487118579e+00
4.980546221466602758e+06 2.203762585212068359e+01 5.152613571802795898e+12 3.840682905433698280e-02 4.996207918205652732e+02 3.863617990628822163e+00
4.998033709911568090e+06 2.280515569284227695e+01 5.072942582550009766e+12 3.924440171184732928e-02 4.980736798122320579e+02 3.691613341043521235e+00
4.986500748006033711e+06 2.159746171705755202e+01 5.148947566524105469e+12 3.892152009746191466e-02 4.971841508447506612e+02 3.836689405749110104e+00
4.844710176572991535e+06 2.316722018535270777e+01 5.104533532452623047e+12 3.908673379657640057e-02 4.989153898404598522e+02 3.780037946377102109e+00
4.853642349936281331e+06 2.249612589723566458e+01 5.210736526863891602e+12 3.872035851793551031e-02 4.997110523970661689e+02 3.740050476606239904e+00
4.999871051071169786e+06 2.202456928315544360e+01 5.119073235214184570e+12 3.930024320348925182e-02 4.965246620082565414e+02 3.704140951475313859e+00
4.985295329923758283e+06 2.249042814226496034e+01 5.029330052619496094e+12 3.956943739633986268e-02 4.970769906989384026e+02 3.707331595097960175e+00
4.959400199884245172e+06 2.158694987349900529e+01 5.180297691054085938e+12 3.900415995297324551e-02 4.999699185194346569e+02 3.920841039124943528e+00
4.980306276403264143e+06 2.264867540617670727e+01 5.059069582963421875e+12 3.931271905650002285e-02 4.987471518436603901e+02 3.721013561015872106e+00
4.981148192330771126e+06 2.245033820839022098e+01 5.375808619610497070e+12 3.866746772389328957e-02 4.978520151882769369e+02 3.947654177924293517e+00
4.891958933274566196e+06 2.313795703551465976e+01 5.424385315968081055e+12 3.790591260718150640e-02 4.983510993080756180e+02 3.790037178345723401e+00
4.948985800039486028e+06 2.197812046955032983e+01 5.025321109681529297e+12 3.917048889845553550e-02 4.998073458132557789e+02 3.982605800632971871e+00
4.997553976868579164e+06 2.289864937958475366e+01 5.058065679543352539e+12 3.899577421423480045e-02 4.971673930998484821e+02 3.823804712115357329e+00
4.935490203876251355e+06 2.275587959043528130e+01 5.164120857179449219e+12 3.895796063309680396e-02 4.981447623898848178e+02 3.719629253600639451e+00
4.742282801578583196e+06 2.323580379965434162e+01 5.139001054430824219e+12 3.965820634426826807e-02 4.980719103926642788e+02 3.783667474808702913e+00
4.737509209420148283e+06 2.267466274244131341e+01 5.151927359257444336e+12 3.873712896286242435e-02 4.981948954886344723e+02 3.911062621915385673e+00
