logz logzerr logvol nlive logl logwt insert_order
-2.602272460800150293e+05 2.059147456481023255e+03 -1.625000000000000888e-01 4.000000000000000000e+02 -2.580837545044510043e+05 -2.580899097187377047e+05 1.090000000000000080e+00
-2.580899097187377047e+05 2.663437751231585025e+03 -1.650000000000000910e-01 4.000000000000000000e+02 -2.546411237703630177e+05 -2.546472814846497204e+05 1.264999999999999902e+00
-2.546472814846497204e+05 3.605375570380824229e+03 -1.675000000000000933e-01 4.000000000000000000e+02 -2.540796915023859474e+05 -2.540858517166726524e+05 1.709999999999999964e+00
-2.540858517166726524e+05 2.433152338904833698e+02 -1.700000000000000955e-01 4.000000000000000000e+02 -2.539404872977373889e+05 -2.539466500120240671e+05 9.150000000000000355e-01
-2.539466500120240671e+05 2.324039082268161280e+02 -1.725000000000000977e-01 4.000000000000000000e+02 -2.533125496041182778e+05 -2.533187148184049584e+05 1.409999999999999920e+00
-2.533187148184049584e+05 3.328121584775439032e+02 -1.750000000000000999e-01 4.000000000000000000e+02 -2.519983493015489657e+05 -2.520045170158356486e+05 8.449999999999999734e-01
-2.520045170158356486e+05 8.301963078274729924e+02 -1.775000000000001021e-01 4.000000000000000000e+02 -2.519342507387079531e+05 -2.519404209529946384e+05 7.800000000000000266e-01
-2.519404209529946384e+05 6.687744344095993938e+02 -1.800000000000001044e-01 4.000000000000000000e+02 -2.518172120853875240e+05 -2.518233847996742115e+05 1.849999999999999978e-01
-2.518233847996742115e+05 6.180701465089944122e+02 -1.825000000000001066e-01 4.000000000000000000e+02 -2.512174659067978209e+05 -2.512236411210845108e+05 2.999999999999999889e-01
-2.512236411210845108e+05 3.286759245384135397e+02 -1.850000000000001088e-01 4.000000000000000000e+02 -2.497026633420097642e+05 -2.497088410562964564e+05 1.084999999999999964e+00
-2.497088410562964564e+05 8.995133385102122929e+02 -1.875000000000001110e-01 4.000000000000000000e+02 -2.468723546145810105e+05 -2.468785348288677051e+05 1.564999999999999947e+00
-2.468785348288677051e+05 2.098692975444730109e+03 -1.900000000000001132e-01 4.000000000000000000e+02 -2.463079297840920044e+05 -2.463141124983787013e+05 1.159999999999999920e+00
-2.463141124983787013e+05 2.779567323958395946e+02 -1.925000000000001155e-01 4.000000000000000000e+02 -2.460293947939058125e+05 -2.460355800081925117e+05 1.685000000000000053e+00
-2.460355800081925117e+05 3.503242597715255897e+02 -1.950000000000001177e-01 4.000000000000000000e+02 -2.452301728479184967e+05 -2.452363605622051982e+05 2.250000000000000056e-01
-2.452363605622051982e+05 5.193786858826033495e+02 -1.975000000000001199e-01 4.000000000000000000e+02 -2.451254881793269014e+05 -2.451316783936136053e+05 1.459999999999999964e+00
-2.451316783936136053e+05 3.264541139301197177e+02 -2.000000000000001221e-01 4.000000000000000000e+02 -2.423707344868684304e+05 -2.423769272011551075e+05 1.360000000000000098e+00
-2.423769272011551075e+05 1.358415684904295631e+03 -2.025000000000001243e-01 4.000000000000000000e+02 -2.392815506726812164e+05 -2.392877458869678958e+05 9.000000000000000222e-01
-2.392877458869678958e+05 2.229471971683568427e+03 -2.050000000000001266e-01 4.000000000000000000e+02 -2.366669373367152293e+05 -2.366731350510019111e+05 1.350000000000000089e+00
-2.366731350510019111e+05 3.107902069219634996e+03 -2.075000000000001288e-01 4.000000000000000000e+02 -2.357373428884545574e+05 -2.357435431027412415e+05 2.849999999999999756e-01
-2.357435431027412415e+05 3.402134410463807399e+03 -2.100000000000001310e-01 4.000000000000000000e+02 -2.352448926237204287e+05 -2.352510953380071151e+05 3.049999999999999933e-01
-2.352510953380071151e+05 3.614647449173599398e+03 -2.125000000000001332e-01 4.000000000000000000e+02 -2.346534572978297947e+05 -2.346596625121164834e+05 7.650000000000000133e-01
-2.346596625121164834e+05 2.793713069774602218e+02 -2.150000000000001354e-01 4.000000000000000000e+02 -2.338708182035555074e+05 -2.338770259178421984e+05 5.200000000000000178e-01
-2.338770259178421984e+05 4.701518353972337536e+02 -2.175000000000001377e-01 4.000000000000000000e+02 -2.288957818955616676e+05 -2.289019921098483610e+05 9.749999999999999778e-01
-2.289019921098483610e+05 2.445439334051352489e+03 -2.200000000000001399e-01 4.000000000000000000e+02 -2.288297492705074546e+05 -2.288359619847941503e+05 1.749999999999999889e-01
-2.288359619847941503e+05 1.605031774088932480e+03 -2.225000000000001421e-01 4.000000000000000000e+02 -2.277585752939083904e+05 -2.277647905081950885e+05 5.400000000000000355e-01
-2.277647905081950885e+05 5.208611037659852627e+02 -2.250000000000001443e-01 4.000000000000000000e+02 -2.269930895026068320e+05 -2.269993072168935323e+05 6.049999999999999822e-01
-2.269993072168935323e+05 3.772224012711856744e+02 -2.275000000000001465e-01 4.000000000000000000e+02 -2.216172042626677721e+05 -2.216234244769544748e+05 1.699999999999999956e+00
-2.216234244769544748e+05 2.497336097849325597e+03 -2.300000000000001488e-01 4.000000000000000000e+02 -2.214886432840244670e+05 -2.214948659983111720e+05 5.100000000000000089e-01
-2.214948659983111720e+05 2.709002555088099598e+03 -2.325000000000001510e-01 4.000000000000000000e+02 -2.212785137886958546e+05 -2.212847390029825328e+05 1.524999999999999911e+00
-2.212847390029825328e+05 1.782095107149501473e+03 -2.350000000000001532e-01 4.000000000000000000e+02 -2.205551947205665347e+05 -2.205614224348532152e+05 4.699999999999999734e-01
-2.205614224348532152e+05 1.911675622201455553e+03 -2.375000000000001554e-01 4.000000000000000000e+02 -2.192844676478854963e+05 -2.192906978621721792e+05 1.409999999999999920e+00
-2.192906978621721792e+05 8.809564435563418101e+02 -2.400000000000001577e-01 4.000000000000000000e+02 -2.157440564851383388e+05 -2.157502891994250240e+05 1.685000000000000053e+00
-2.157502891994250240e+05 1.880101645670534253e+03 -2.425000000000001599e-01 4.000000000000000000e+02 -2.128988406990390795e+05 -2.129050759133257670e+05 1.205000000000000071e+00
-2.129050759133257670e+05 1.402689255657879130e+03 -2.450000000000001621e-01 4.000000000000000000e+02 -2.118805254141300102e+05 -2.118867631284167001e+05 1.000000000000000056e-01
-2.118867631284167001e+05 1.540531259218960713e+03 -2.475000000000001643e-01 4.000000000000000000e+02 -2.116435915489798062e+05 -2.116498317632664985e+05 8.699999999999999956e-01
-2.116498317632664985e+05 3.443660713460904503e+02 -2.500000000000001665e-01 4.000000000000000000e+02 -2.104219490586658649e+05 -2.104281917729525594e+05 2.999999999999999889e-02
-2.104281917729525594e+05 6.352841412922335849e+02 -2.525000000000001688e-01 4.000000000000000000e+02 -2.095511175523856364e+05 -2.095573627666723332e+05 1.700000000000000122e-01
-2.095573627666723332e+05 6.800364360204958984e+02 -2.550000000000001710e-01 4.000000000000000000e+02 -2.093784823176058126e+05 -2.093847300318925118e+05 4.050000000000000266e-01
-2.093847300318925118e+05 6.852378058657427573e+02 -2.575000000000001732e-01 4.000000000000000000e+02 -2.091375381641930144e+05 -2.091437883784797159e+05 1.175000000000000044e+00
-2.091437883784797159e+05 1.405369709675279637e+02 -2.600000000000001754e-01 4.000000000000000000e+02 -2.089700017017575155e+05 -2.089762544160442194e+05 3.400000000000000244e-01
-2.089762544160442194e+05 1.217419982222089629e+02 -2.625000000000001776e-01 4.000000000000000000e+02 -2.074619429041135008e+05 -2.074681981184001779e+05 1.050000000000000044e+00
-2.074681981184001779e+05 7.981176579735325731e+02 -2.650000000000001799e-01 4.000000000000000000e+02 -2.049537939140928211e+05 -2.049600516283795005e+05 2.849999999999999756e-01
-2.049600516283795005e+05 1.630598174921274904e+03 -2.675000000000001821e-01 4.000000000000000000e+02 -2.036821577613140980e+05 -2.036884179756007798e+05 7.550000000000000044e-01
-2.036884179756007798e+05 1.307019867450065249e+03 -2.700000000000001843e-01 4.000000000000000000e+02 -2.030167885053282662e+05 -2.030230512196149502e+05 1.959999999999999964e+00
-2.030230512196149502e+05 1.624836595860603211e+03 -2.725000000000001865e-01 4.000000000000000000e+02 -2.028874851037376793e+05 -2.028937503180243657e+05 8.649999999999999911e-01
-2.028937503180243657e+05 1.258306176562756491e+03 -2.750000000000001887e-01 4.000000000000000000e+02 -2.011635710040402482e+05 -2.011698387183269369e+05 1.239999999999999991e+00
-2.011698387183269369e+05 8.742061429144113163e+02 -2.775000000000001910e-01 4.000000000000000000e+02 -2.005300486146123149e+05 -2.005363188288990059e+05 1.774999999999999911e+00
-2.005363188288990059e+05 1.061005112792382306e+03 -2.800000000000001932e-01 4.000000000000000000e+02 -1.997848136359185155e+05 -1.997910863502052089e+05 1.889999999999999902e+00
-1.997910863502052089e+05 1.152443087502699427e+03 -2.825000000000001954e-01 4.000000000000000000e+02 -1.992274565274461638e+05 -1.992337317417328595e+05 1.185000000000000053e+00
-1.992337317417328595e+05 1.092155613730295499e+03 -2.850000000000001976e-01 4.000000000000000000e+02 -1.988061452436509426e+05 -1.988124229579376406e+05 5.899999999999999689e-01
-1.988124229579376406e+05 6.447427083801986782e+02 -2.875000000000001998e-01 4.000000000000000000e+02 -1.978227223587943881e+05 -1.978290025730810885e+05 1.695000000000000062e+00
-1.978290025730810885e+05 5.374117202293298305e+02 -2.900000000000002021e-01 4.000000000000000000e+02 -1.967207594163329632e+05 -1.967270421306196658e+05 1.840000000000000080e+00
-1.967270421306196658e+05 7.694869799518758100e+02 -2.925000000000002043e-01 4.000000000000000000e+02 -1.966983192789676250e+05 -1.967046044932543300e+05 1.294999999999999929e+00
-1.967046044932541554e+05 4.168247692157861479e+02 -2.950000000000002065e-01 4.000000000000000000e+02 -1.960341156982402317e+05 -1.960404034125269100e+05 3.599999999999999867e-01
-1.960404034125269100e+05 2.910080952737757229e+02 -2.975000000000002087e-01 4.000000000000000000e+02 -1.952962642377568118e+05 -1.953025544520434923e+05 8.649999999999999911e-01
-1.953025544520434923e+05 5.286153151150558642e+02 -3.000000000000002109e-01 4.000000000000000000e+02 -1.951145842083111638e+05 -1.951208769225978467e+05 1.600000000000000089e+00
-1.951208769225978467e+05 3.920810944443441031e+02 -3.025000000000002132e-01 4.000000000000000000e+02 -1.932949917622769135e+05 -1.933012869765635987e+05 3.350000000000000200e-01
-1.933012869765635987e+05 8.695035650742897815e+02 -3.050000000000002154e-01 4.000000000000000000e+02 -1.932323912908966886e+05 -1.932386890051833761e+05 1.245000000000000107e+00
-1.932386890051833761e+05 7.725206524134019901e+02 -3.075000000000002176e-01 4.000000000000000000e+02 -1.930956967003037280e+05 -1.931019969145904179e+05 5.749999999999999556e-01
-1.931019969145904179e+05 7.505217444106193625e+01 -3.100000000000002198e-01 4.000000000000000000e+02 -1.930894890182633244e+05 -1.930957917325500166e+05 1.895000000000000018e+00
-1.930957897156440886e+05 5.234357321872504798e+01 -3.125000000000002220e-01 4.000000000000000000e+02 -1.922183855697655526e+05 -1.922246907840522472e+05 1.955000000000000071e+00
-1.922246907840522472e+05 4.463537351580480959e+02 -3.150000000000002243e-01 4.000000000000000000e+02 -1.911252027964228473e+05 -1.911315105107095442e+05 1.879999999999999893e+00
-1.911315105107095442e+05 8.432903298480873673e+02 -3.175000000000002265e-01 4.000000000000000000e+02 -1.906648903528233059e+05 -1.906712005671100051e+05 1.455000000000000071e+00
-1.906712005671100051e+05 6.685879156820202525e+02 -3.200000000000002287e-01 4.000000000000000000e+02 -1.906571322799300542e+05 -1.906634449942167557e+05 2.849999999999999756e-01
-1.906634445659597404e+05 1.280159675987863181e+02 -3.225000000000002309e-01 4.000000000000000000e+02 -1.903687959762480750e+05 -1.903751111905347789e+05 1.195000000000000062e+00
-1.903751111905347789e+05 1.381565439560337438e+02 -3.250000000000002331e-01 4.000000000000000000e+02 -1.899890139916562184e+05 -1.899953317059428955e+05 9.899999999999999911e-01
