weight logl rho_DM_0 r_s rho_b0 r_b Sigma_0 R_d
0.000000000000000000e+00 -3.053162778440302936e+05 5.955726626744642926e-01 2.927652507390541281e-01 7.935574717790430110e-01 8.566729731620664756e-01 3.887652153397265220e-01 4.020512757771894652e-01
0.000000000000000000e+00 -3.024701252476930385e+05 9.461750587232330423e-01 6.909467210140071147e-01 1.519177248095018307e-01 8.420703566866020173e-01 7.724090445910016811e-01 8.856430424219384756e-01
0.000000000000000000e+00 -3.004657578310521203e+05 9.187370089803172934e-01 6.196898962704241454e-01 7.423321292297472285e-01 6.907881848872658992e-01 2.247164518229001207e-01 9.449000007186040273e-01
0.000000000000000000e+00 -2.943678271604444017e+05 3.730389677063798981e-01 6.390436261547056684e-01 8.202367617834066538e-01 7.775463398909610024e-01 9.464573196097768593e-01 5.314408146467357597e-01
0.000000000000000000e+00 -2.886794506374932826e+05 9.812209741742069502e-01 4.820628351795248623e-01 8.980682939923018138e-01 6.987234003503264290e-01 2.899592806972853820e-01 4.088814885593157200e-01
0.000000000000000000e+00 -2.882351413807605277e+05 5.901197787558780661e-01 2.252216912019733286e-02 6.982731340193044645e-01 9.280428821769246550e-01 9.188589259767077078e-01 5.505015468522633793e-02
0.000000000000000000e+00 -2.880182289354875102e+05 4.804636286615305840e-01 9.816581425837032082e-01 8.600799152206505260e-01 6.450329830637930861e-01 1.779549764178125493e-01 1.658621772254166293e-01
0.000000000000000000e+00 -2.877070214855217491e+05 9.378324100881015868e-01 7.823359512743981448e-01 7.874183193375077217e-01 5.241396277554019045e-01 5.844235111151376838e-01 4.886567467413100996e-01
0.000000000000000000e+00 -2.872211543140967842e+05 7.868863614869323619e-01 1.981333358874273198e-01 7.765710617180590081e-01 8.553011632468076053e-01 4.241390003349245763e-01 9.979647932872015570e-01
0.000000000000000000e+00 -2.868006640552147292e+05 5.725513073057303393e-01 9.233098383461348924e-01 6.721100891048090720e-01 6.671646281630511099e-01 1.316114072289471526e-01 5.334246423381139302e-02
0.000000000000000000e+00 -2.827120317127244780e+05 9.475953189661241449e-01 9.430814252584069912e-01 5.457483926838778698e-01 8.794556685060117562e-02 9.486762700063449127e-01 3.408565427554665073e-01
0.000000000000000000e+00 -2.809748320566064795e+05 8.690924761639748919e-01 3.355337658747901131e-01 5.708209819288486697e-01 8.641000335255232256e-01 3.090201579680962318e-01 5.663430943207126145e-01
0.000000000000000000e+00 -2.790706328234431567e+05 5.625079635603560391e-01 7.053956531309975020e-01 3.213039167924489625e-01 8.813806969212095721e-01 1.367173554527034707e-01 1.978254697923362837e-01
0.000000000000000000e+00 -2.769554372403391753e+05 7.611687884493427703e-01 9.274100775525346840e-01 1.303771956623247519e-01 6.926334254919556122e-01 5.222590223957925826e-01 1.321443767417617154e-01
0.000000000000000000e+00 -2.753433515911748400e+05 8.807248705771887343e-01 2.882366855502344061e-01 6.531175579021818445e-01 8.363588469462146513e-01 7.730903567480876815e-01 9.447541107392547488e-01
0.000000000000000000e+00 -2.742069566767914221e+05 3.948735484163959919e-01 8.466243442256844443e-01 5.982047023886880588e-01 7.749789989373055965e-01 2.001701081595297360e-02 2.213381074013024419e-01
0.000000000000000000e+00 -2.720995268918990041e+05 8.242134050504713594e-01 8.852431439211038144e-01 8.184725625059370291e-01 4.674915173013917125e-01 2.847379813200296983e-01 5.770839128658228345e-01
0.000000000000000000e+00 -2.695959402273001615e+05 9.387942608644195275e-02 1.103000514765124507e-01 8.804192922821051370e-01 8.529938020477494387e-01 6.999436705288358818e-01 6.835645991103689312e-02
0.000000000000000000e+00 -2.688416467818802339e+05 4.783749067339717609e-01 7.688722655002808715e-01 7.042539750806502408e-01 7.152805954115212250e-01 5.975566292582491501e-01 9.868299822564605694e-01
0.000000000000000000e+00 -2.676928430557883694e+05 8.514928270372386088e-01 5.553665046777278569e-01 1.558161695204975938e-01 9.490012025565868203e-01 1.102060592187947830e-02 2.294902647484126090e-01
0.000000000000000000e+00 -2.664529768424909562e+05 9.786115331858170618e-01 5.398897256502134256e-01 5.843990611057049422e-01 7.062229336347420894e-01 4.530091625828113200e-01 7.352348926695317921e-01
0.000000000000000000e+00 -2.647824716752648819e+05 1.546595261562939694e-01 2.965508857920691188e-01 4.338930213850342721e-01 9.726993317120328220e-01 9.992880456656175747e-01 9.607806745210355492e-01
0.000000000000000000e+00 -2.636855922144094948e+05 5.092969716043137529e-01 9.133162098210645397e-01 3.660699726508117591e-01 7.304649237431352082e-01 9.576908489581158479e-01 5.409758466861075421e-01
